关键词,简介,详解
关系数据库查询优化,优化查询性能的技术,"""对查询语句、索引设计、查询执行计划等方面进行调整优化，提高系统响应速度、可伸缩性和可用性"""
基数估计,"结果集大小预测""估计数据中满足查询条件的记录数""，",
选择性估计,"条件概率计算""估计数据中满足查询条件的概率值""，",
查询优化器,"最优计划选择器""从查询操作的所有执行计划中尽可能找到最优的计划""，",
数据管理技术,数据库核心技术,"""信息系统开发和建设的核心技术；大数据和人工智能研究及应用的重要基础"""
E-R图,概念设计工具概念结构设计：设计E-R图，,
关系模式,表结构定义逻辑结构设计：设计优化关系模式，,
物理结构设计,存储架构设计设计系统架构（如存储结构、系统配置等），,
数据库实施,系统实现阶段编程实现并测试数据库程序，,
索引,"加速查询结构""用预处理的时空开销换取高效查询""，",
反规范化,减少冗余设计,"""减少连接操作次数和磁盘I/O"""
物化视图,预存查询结果预存视图，,
查询重写,SQL语句优化,重写语句获得更好的查询执行计划
执行计划,操作步骤序列,通过应用查询优化各种手段可得到的查询执行计划
代价模型,成本计算模型,"""估计执行计划的代价（I/O成本、CPU成本）"""
基于概要的方法,统计信息预计算,"""预先收集数据库的统计信息，基于独立性等简单假设，快速计算基数值"""
基于直方图的方法,分布统计技术,不同类型的直方图对应不同的基数估计方法
频率直方图,等宽区间统计,将数据列分量值按大小排序后均匀划分到b个存储桶
顶频直方图,高频值统计,"""频率直方图的变体：仅选取了前b个目标列分量值"""
高度均衡直方图,等频分桶统计,使每个存储桶包含的记录数尽可能相等
混合直方图,混合型统计,引入记录端点值重复次数的指标加速计算
流行值,高频出现值被选中的分量值，,
非流行值,低频出现值未被选中的分量值，,
存储桶数目(b),统计分块数,收集统计信息时划分的块数
NDV,不同值数量,不同取值数目（Number Distinct Values
估计百分比,统计覆盖比例,目标列中用于统计分析的记录占总记录数的百分比
端点值,桶边界值,每个存储桶的最大值
端点数,桶内不同值数,存储桶中包含的不同取值数目
基于采样的方法,随机抽样统计,"""从原始数据中随机抽取一定比例或一定数量的记录，根据在采样集上执行查询得到的结果大小除以相应缩放比例得到基数估计结果"""
多表基数估计,跨表采样统计,单独对每个表进行采样，再将采样结果连接并进行查询并缩放
连接倾斜问题,采样偏差现象,
查询驱动方法,基于历史查询以历史查询记录为数据来源，,
数据驱动方法,基于原始数据以数据库中的原始数据记录作为主要数据来源，,
回归模型,预测模型用于查询驱动的基数估计，,
神经网络,深度学习模型用于查询驱动的基数估计，,
概率图模型(PGM),联合分布建模用于数据驱动的基数估计，,
自回归模型(ARM),序列概率模型用于数据驱动的基数估计，,
Naru,神经关系理解,"""将属性值转为特征向量的编码策略"""
One-hot向量,离散值编码,属性取值个数较少时采用One-hot向量表示
嵌入矩阵,特征映射矩阵,将One-hot向量与可学习嵌入矩阵相乘得到属性值的低维嵌入向量表示
链式法则,概率分解规则,基于自回归模型的基数估计
数据库,数据管理系统,需求分析：数据、功能、性能等需求
独立性假设,统计简化假设,基于独立性等简单假设
I/O成本,磁盘访问开销,估计执行计划的代价
CPU成本,计算资源开销,估计执行计划的代价
信息检索,信息存取活动,"""本质上是一种有目的和组织的信息存取活动包含'存'和'取'两个基本环节""，"
文本检索,文本信息查询用户的提问类型之一，,
数值检索,数值数据查询用户的提问类型之一，,
音频检索,音频信息查询用户的提问类型之一，,
信息检索系统,四元组表示,"""表示为(D"
向量空间模型(VSM),文档向量表示,"""将文档表示为文档向量集的形式，词kj在文档di中出现x次则对应位置值为x"""
Zipf分布,词频分布规律,"""只有极少数的词被经常使用，而绝大多数的词都很少使用。频度最高的词和频度最低的词所含有的信息量最少"""
tf-idf,词权重计算,"""wij=fij*idfi，其中fij=freqij/max tfj（局部权值），idfi=log(n/ni)（全局权值）"""
倒排索引,索引结构,包含词汇表和倒排表的数据结构
